ParcelId,Address,City,State,ZIP,County,MSA,Submarket,YearBuilt,YearRenovated,AssetClass,Stories,ConstructionType,PropertyType,UnitCount,AvgUnitSqft,NetRentableSqft,ParkingType,ParkingRatio,LotSizeAcres,ManagementCompany,Notes,DataConfidence,SourceFiles
Linvingston,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Costar Richmond - VA-MultiFamily-Market-2021-05-18.pdf; Livingston BoxScoreSummary05_05_2021.pdf; Livingston BoxScoreSummary05_18_2021.pdf; Livingston ConcessionBurnOff05_05_2021.xlsx; Livingston Other Income.xlsx
Linz Holy Springs,,Raleigh,NC,,,"Raleigh-Durham-Chapel Hill, NC",,,,,,,,,,,Garage,,,,,medium,Linz - Renatble Items (2023.03.09).xlsx; Linz - Rent Roll (2023.03.09).xlsx; Linz - Rent Roll w Future Rents (2023.03.27).xlsx; Linz - Rent Roll_RedIQ (2023.03.27).xlsx; Linz Holly Springs - Rent Roll (2023.10.06) modified.xls
Liv Deals,,,,,,,,,,,,,,,,,,,,,,none,
Livano Canyon Falls,,San Antonio,TX,,,"San Antonio-New Braunfels, TX",,,,,,,,,,,,,,,,medium,12_Month_Statement_403_Accrual (1).xlsx; Livano Canon Falls Other income.xlsx; RentableItemsDirectory03_13_2024 (1).xlsx; RentRollwithLeaseCharges03_13_2024 (3).xlsx
Livano Pflugerville,,Pflugerville,TX,,,"Austin-Round Rock, TX",,,,,,,,,,,,,,,,medium,12_Month_Statement_420_Accrual.xlsx; Livano Pfluger Other income.xlsx; RentableItemsDirectory03_13_2024.xlsx; RentRollwithLeaseCharges03_13_2024 (2).xlsx
Lofts at Weston,,Weston,FL,,,"Miami-Fort Lauderdale-West Palm Beach, FL",,,,,,concrete,,,,,Garage,,,FE,,medium,2015 Operating Statement_Lofts at Weston Lakeside.xlsx; 2016 Operating Statement_Lofts at Weston.xlsx; 2017 Operating Statement_Lofts at Weston Lakeside.xlsx; 2018 Rolling (0717-0618)_Lofts at Weston Lakeside.xlsx; 2018 Rolling (0817-0718)_Lofts at Weston - modified.xls
Lucent,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2023,,,,concrete,high-rise,,,,,,,,,medium,Lucent OM.pdf
Luxary Apartments at Foxwood,,,,,,,,,,,,,,,,,,,,,,none,
MAdison Farms,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2022,,,,,,,003,003,,,,Fee Insuran,,medium,BoxScoreSummary_2022.07.13_Madison Farms.xlsx; ConcessionBurnOff_2022.06.22_MadisonFarms.xlsx; Madison Farms OM.pdf; Madison Farms Other Income.xlsx; RentableItemsDirectory_2022.06.22_MadisonFarms.xlsx
Magnolia Vinings,,,,,,,,,,,,,,,,,,,,,,none,
Manor 6 forks,,Raleigh,NC,,,"Raleigh-Durham-Chapel Hill, NC",,,,,,,,,359,60359,Garage,,,PAYRO,,medium,Historical_20190619130621 - Manor 6 Forks.xls; ManorSixForks_OM (1).pdf; NEW_Rent Roll_2019.06.10_Manor Six Forks.xls; NEW_T12_2019.05_Manor Six Forks.xls; NEW_T12_2019.05_Manor Six Forks.xlsx
Matthews Reserve,,Matthews,NC,NC,,"Charlotte-Concord-Gastonia, NC-SC",,,,,,,,,171,171,,,17.52,Fee Payro,,medium,2018_1Q_Charlotte_Market Performance Summary.pdf; cash flow after debt service .xls; Deal summary .xls; Forecast .xls; Matthews Reserve Axio.pdf
Mercer Park,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Mercer Park Pro Forma.pdf; Mercer Park.xlsx
Mira Flores,,Atlanta,GA,GH,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Mira_Flores_Pages.pdf; Mira_Flores_Spreads (1).pdf
Mirabella Lakes,,Miami,FL,,,"Miami-Fort Lauderdale-West Palm Beach, FL",,2022,,,,,Garden,,588,588,Garage,,,Fe,,medium,Historical_20190702163134 - Mirabella .xls; Mirabella 6.25.19.xls; Mirabella at Waterford Lakes (Orlando FL) OM - 2019 FINAL.pdf; Mirabella T-12 5.31.19.xlsx; Mirabella T-12 6.28.19 - techno.xls
Modena,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,6620,,,,157,157,COVERED,,,FE,,medium,02.18 12 Month Trailing Modena - Modified .xls; 02.18 12 Month Trailing Modena.xlsx; Modena - Rent Roll - 3.22.18.xls; Modena - Underwritng report .pdf; Modena Rent Roll 2.1.18.pdf
Morningside,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,2050 - Fee Sheet (2021).pdf; 2050 - Hunsucker Appeal (2021).pdf; 2050 - Ren Roll (2021.11.15) RedIQ.xlsx; 2050 - Rent Roll (2021.11.30)_RedIQ.xlsx; 2050 - Rent Roll with Lease Charges (2021.11.30).xlsx
New folder,,,,,,,,,,,,,,,,,,,,,,none,
Novel Research Park,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2022,,,,,,,,,,,,,,medium,JLL Novel Research Park Debt Memo 09-02-20.pdf; JLL Novel Research Park Debt Memo 09-15-20.pdf
Novel Upper Westside,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2023,,,,,,1411,364,364,,,,,,medium,All+Units.pdf; Boxscore.pdf; Concessions.pdf; Novel Other Income.xlsx; Novel Upper Westside Payroll .xls
Oasis - Dania Pointe,,Dania Beach,FL,,,"Miami-Fort Lauderdale-West Palm Beach, FL",,,,,,,,,,,,,,,,medium,Oasis - Dania Pointe Rent Roll v1.xls
Octave Apartments,,,,,,,,,,,,,,,,,,,,,,none,
PGA Development,,,,,,,,,,,,,,70,,,,,,,,low,PGA Development .xls
Paces Brook,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,1984,,,,,,2019,,,,,,FEE Manageme,,medium,Historical_20190823153146 - Paces Brook.xls; Paces Brook - Offering Memorandum.pdf; Paces Brook - Rent Roll (2019.08.22) - Techno.xls; Paces Brook - Rent Roll (2019.08.22).xlsx; Paces Brook - T12 Income Statement (2019.07.31) - techno.xls
Palmetto Place,,,,,,,,,,,,,,,,,,,,,,none,
Palmetto Pointe,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Symphony Other Income.xlsx
Parc,,,,,,,,,,,,,,,,,,,,,,none,
Parc at 1695,,,,,,,,,,,,,,,,,,,,,,none,
Parian Apartments,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,1989,,,,,,,,,,,,,,medium,"Parian Apts NC Tax Forecast (1.11.24).xls; Parian Apts NC Tax Forecast (1.11.24).xlsx; Parian, The - Rent Roll (2023.12.01).xlsx; Parian, The - T12 (2023.11).xlsx"
Park 2300,,Dallas,TX,,,"Dallas-Fort Worth-Arlington, TX",,,,,,Mixed,,,,,Mixed,,,Fee Gro,,medium,20190910131917_APINVExport - Park 2300 Rent Break down .xls
Park Ave,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2020,,,,,,,,,Garage,,,Fe,,medium,document.pdf; Park Ave - Codes .xls; Park Avenue - OM.pdf; Park Avenue - Phase I - 2018 Tax Bill.pdf; Park vs Royal.xlsx
Park Plaza,,,,,,,,,,,,,,,,,,,,,,none,
Park Vista,,,,,,,,,,,,,,,,,,,,,,none,
Park on Clairmont,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,Reno preimums .xls
Parkside at Towncenter - Georgia,,,,,,,,,,,,,,,,,,,,,,none,
Parkview Greer,,Greer,SC,,,"Greenville-Anderson-Mauldin, SC",,,,,,mixed,,00,017,2017,mixed,,,,,medium,(Geer SC) Expense Comp 10-26-21.pdf; Greer Rent roll - TS.xls; Parkview Rent Roll - v1 .xls; ParkViewGreer OM.pdf; WhatsApp Image 2021-10-15 at 12.05.43 PM (2).jpeg
Patterson Place,,Charlotte,NC,,,"Charlotte-Concord-Gastonia, NC-SC",,,,,,,,345,605,605,GARAGE,,,Fee Insuran,,medium,20200709135112_IncomeAPINVExport - Solis Patterson Place .xls; Durham County Value Notice_2020.04.30_Solis Patterson Place.pdf; Proforma_2020.07_Solis Patterson Place.pdf; Solis Patterson - Demographic Details 070620.pdf; Solis Patterson - Rent Roll Detail 070620.xls
Pointe Grand Apartments,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,Concrete,,,005,2005,Garage,,1,Fee Insuran,,medium,Dawsonville.xls; Point Grand  Apartments Other Income.xlsx; Point Grand Dawsonville  Rent Roll.xls; Pointe Grand Apartments Dawsonville Pro-Forma vBullRealty - excel.xls; Pointe Grand Apartments Dawsonville Pro-Forma vBullRealty.xlsx
Portfolio,,,,,,,,,,,,,,,,,,,,,,none,Forena Luxury Living UW v4.xlsx; Linz Holly Springs UW v3.xlsx; Linz Luxury Living UW v4.xlsx; Parian Mooresville UW v4.xlsx; Solay Carnes Crossroads UW v4.xlsx
Portiva - Jacksonville,,,,,,,,,,,,,,2018,670,670,Garage,,7.66,Fee M,,low,2017 Trim.pdf; Aged Receivables - 6-20-18.xlsx; Comparison.xls; Deal Summary & 6yr Projections using market rents .xls; Deal Summary.xls
Preserve at Godley,,,,,,,,,,,,,,2019,,,Garage,,,Fee,,low,Copy of Preserve at Godley Station T12 2019_08_31.xls; Copy of Preserve Rent Roll 2019_10_03 - techno.xls; Copy of Preserve Rent Roll 2019_10_03.xls; Historical_20191009171122 -  Preserve at Godley.xls
Preserve at Mill Creek,,,,,,,,,,,,,,,,,,,,,,none,Preserve_at_Mill_Creek_OM.pdf
Preserve at Mountain,,,,,,,,,,,,,,,,,,,,,,none,Keltonwood Numbers .xlsx
Preston Pointe at windermere,,,,,,,,,,,,,,,,,,,,,,none,
Princeton Pac,,,,,,,,,,,,,,,,,,,,,,none,
Pringle Square,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,SLab,,,319,319,Garage,,,Fee Insuran,,medium,20220330113742_IncomeAPINVExport.xls; 21-23546CH CMT_Title.pdf; DO05.900 PRINGLE SQUARE ALTA Preliminary 08-05-19 (1).pdf; Phase I ESA Report - Grier Site - Charter.pdf; Pringle Lease Trade-Out 033022.xlsx
Promenade at Carillon,,,,,,,,,,,,,,,,,,,,,,none,
Raleigh Exchange,,,,,,,,,,,,,,,,,,,,,,none,Raleigh Exchange - 2024-12.pdf; RE_Rent+Roll+Detail+-+Excel - 2025-01-30T134711.114.xlsx
Raleigh Portfolio,,,,,,,,,,,,,,,,,,,,,,none,
Ravella Town Center,,,,,,,,,,,,,,,,,,,,,,none,RV 2022 ConcessionMatrix.pdf
Regatta at Lake Lynn,,,,,,,,,,,,,,2019,,,,,,FE,,low,Historical_20190805115618 - Regatta .xls; RegatttaLakeLynn_OM.pdf; Rent Roll_2019.06.04_Regatta at Lake Lynn - techno.xls; Rent Roll_2019.06.04_Regatta at Lake Lynn.xlsx; T12_2019.05_Regatta at Lake Lynn    - techno.xls
Reserve at Bridford,,,,,,,,,,,,,,2019,,,Garage,,,Fe,,low,Confidentiality Agreement 2019_Reserve at Bridford.pdf; Historical_20191112101442 - Reserve at Bridford.xls; RentRoll - 10_29_2019 - Reserve at Bridford - Techno.xls; RentRoll - 10_29_2019 - Reserve at Bridford.xlsx; Sep19 - IS - Reserve at Bridford - Techno .xls
Reserve at Magnolia,,,,,,,,,,,,,,,,,,,,,,none,
Residences at Shilo Crossings,,,,,,,,,,,,,,318,671,671,GARAGE,,,,,low,20210224141645_IncomeAPINVExport - Shiloh.xls; 20210224142114_IncomeAPINVExport.xls; Copy of Shiloh RR_ - 2-25-2021 - techno.xls; Copy of Shiloh RR_ - 2-25-2021.xls; Other Income - Shiloh.xls
Retreat at Johns Creek,,,,,,,,,,,,,,,,,,,,,,none,
Richmond Row,,,,,,,,,,,,,,,001,001,GARAGE,,,,,none,Rent Roll - 5.15.23 - Modified.xls; Rent Roll - 5.15.23.xls; Richmond Row Financials - Feb 2023.xlsx; Richmond Row MMR 1.2.2023 .xlsx; Richmond Row MMR 10.3.22.xlsx
Rivera At Seaside,,,,,,,,,,,,,,2017,,,garage,,,Intrusi,,low,Riviera at Seaside - Rent Roll (2017.12.31).xls; Riviera at Seaside - T12 (2017.12).xls
Riverbend,,,,,,,,,,,,,,266,,,,,,Fee Insuran,,low,Rent Roll (REDIQ)_2020.10.12_Riverbend Village.xls; Rent Roll (REDIQ)_2020.10.12_Riverbend Village.xlsx; Riverbend -Rent Roll.pdf; Riverbend One Line Rent Roll.xlsx; Riverbend Tax Calculation .xls
Riverbend Apartments,,,,,,,,,,,,,,,,,,,,,,none,HUD Note_Riverbend Apartments.pdf; Personnel_2020.11.17_Riverbend.pdf; Rent Roll (One Line)_2020.11.18_Riverbend.pdf; Rent Roll (One Line)_2020.11.18_Riverbend.xlsx; Rent Roll_2020.11.17_Riverbend.pdf
Rivertree,,,,,,,,,,,,Mixed,,2018,,,Mixed,,,FE,,low,Copy of RFQ-Habitational - Rivertree.xlsx; Copy of Rivertree - T-12 Operating Statement (through Nov 17) techno.xls; Projections.xls; Rivertree - OM (1).pdf; Rivertree - Rent Roll_1.8.18.xls
SUR Southside,,,,,,,,,,,,,,2021,,,Garage,,,FE,,low,01.10.21 SUR Rent Roll with Lease Charges - techno.xls; 01.10.21 SUR Rent Roll with Lease Charges.xlsx; 01.19.21 SUR Concession Burn Off.xls; 11.20 12 mo Statement_69198.xls
Santori,,,,,,,,,,,,Concrete,,330,791,791,Garage,,,Fe,,low,Satori Frisco Cages.xls; Satori Frisco Garages.xls; Satori Frisco Rent Roll.xls; Satori Frisco Storages.xls; Satori Frisco T-12.xls
Sentosa Riverview,,,,FL,,,,,,,,,,,,,,,,Fee Insuran,,none,Costar comps.pdf; Hillsborough-County-Real-Estate-A0765460000-2020-Annual-bill.pdf; Revised Turnover Dates (Tentative) (1).pdf; Sentosa Other Income.xlsx; Sentosa Pitch Deck.pdf
Serramar,,,,FL,,,,,,,,,,,,,,,,,,none,Serramar 01 - Offering Memorandum.pdf; Serramar 02a - Rent Roll 6-4-2019.xlsx; Serramar 02b - Rent Roll 6-12-2019.xlsx; Serramar 03a - April 2019 T12 Financials.xlsx; Serramar 03b - May 2019 T12 Financials.xlsx
Seventeen West,,,,,,,,,,,,,,,182,182,Garage,,6.478,Fee Subtot,,none,17 West Comps.pdf; Projections V1.xls; Unit comparisons.xls; Unit comparisons.xlsx
Shoreview,,,,,,,,,,,,,,216,,,,,,,,low,JBM - ShoreView OM.pdf; Rent Roll Analysis - Shoreview.xls; ShoreView - All Units Rent Roll 09.13.2021.xlsx; ShoreView - August 2021 T-12.xlsx
Siena Round Rock,,,,,,,,,,,,,,,655,2655,,,,,,none,"ABJ Article - CelLink could put 2,000-job factory in Georgetown - 12.13.2021.pdf; ABJ Article - This could be hottest spot for economic development in Austin area - 12.16.2021.pdf; Siena - Box Score - 2.4.2022.pdf; Siena - Delivery Schedule - 2.2.2022.pdf; Siena - Prelim Leasing Report with Lease Charges - 2.4.2022.xlsx"
Sixes Ridge,,,,,,,,,,,,,,,,,,,,,,none,
Sodo Duluth,,,,,,,,,,,,,,22,,,,,,,,low,2019-08-23 SODO report.pdf; 2022 Apr 15 - SODO Valuation.pdf; RentRoll01_18_2023.xlsx; Sodo Duluth .xls
Solis Ballantyne,,,,,,,,,,,,,,,,,,,,,,none,Solis Ballantyne APRIL 2018 T12 (1).xlsx; Solis Ballantyne RentRollwithLeaseCharges 05_31_2018.xlsx
Solis Carraway,,,,,,,,,,,,,,2020,,,,,,,,low,BoxScoreSummary06_08_2020.xlsx; Copy of RentRoll03_05_2020 - techno.xls; Mini Market Survey 6.8.20.xlsx; RentRoll02_06_2020 -techno.xls; RentRoll02_06_2020.xlsx
Solis City Park,,,,,,,,,,,,,,,002,002,,,,Fee Insuran,,none,City Park Rent Roll 1.4.21 Deleted 2 Columns.xls; City Park Rent Roll 1.4.21.xls; Copy of Solis City Park RET Est 1-14-21 - Matt's tax number .xlsx; Copy of Tax Math - Solis City Park  3.0.xls; Solis City Park  - Other income.xlsx
Solis Cummings,,,,,,,,,,,,,,,,,Garage,,,,,none,SC - Tax Bill (2021).pdf; SC - Unit Mix and Rentable Items (2021.09.29).xlsx; SC -Site Plan (2021.10.07).pdf; Solis Cummings Other Income.xlsx; Solis cummings Rent Roll.xls
Solis Decatur,,,,,,,,,,,,,,2020,,,,,,,,low,2019 Taxes - Solis Decatur.pdf; BoxScoreSummary_06.15.2020.xlsx; LeaseTracker_06.15.2020.xlsx; Market Survey June 2020.xlsb; ProjectedOccupancyReport_06.15.2020.xlsx
Solis Interlock,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,2022,,,,,,,488,488,,,,,,medium,Boxscore_032921.pdf; Concessions_032921.pdf; Delinquent+and+Prepaid_032921.pdf; Leasing+Activity+Summary_032921.pdf; Projected+Occupancy_032921.pdf
Solis Millennium,,,,,,,,,,,2024,,,2024,944,944,GARAGE,,,Fee Insuran,,low,Amenties_Solis_r.pdf; Boxscore .xls; Rent Roll Detail-3.13.24.xls; Rentable Items_2024.02.12_Solis Millennium.xls; Solis Millennium  Tax Calculation .xls
Solis Reynolds Place,,,,,,,,,,,,,,,,,,,,,,none,Solis Reynolds Place Other income.xlsx; Solis Reynolds Place Rent Roll.xls
Solis Suwanaee Town Center,,,,GA,,,,,,,,,,,406,406,,,21.58,Fee Insuran,,none,Assessment_Notice_2020_R7211_048.pdf; Boxscore (1).pdf; Boxscore.pdf; Copy of Atlanta Garden_ Expense Comparables_ 6.8.20_v2 (003).pdf; Lease Tracker.xlsx
St Tropez,,,,FL,,,,,,,,,,,,,,,,,,none,ST TROPEZ 01 - Offering Memorandum.pdf; ST TROPEZ 02a - Rent Roll 05.06.2019.xlsx; ST TROPEZ 02b - Detailed Rent Roll 05.20.2019.xlsx; ST TROPEZ 02b - Rent Roll 05.20.2019.xlsx; ST TROPEZ 03a - March 2019 T12 Financials.xlsx
Steele Creek rivergate,,,,,,,,,,,,Mixed,,,095,5095,Mixed,,,Fee Insuran,,none,10.6.21_Income_Statement_.xlsx; 9.9.21 Tenant Detail Report.xlsx; 9.9.21_Rent_Roll_408_Units_.xlsx; Agreement_.pdf; Capstone Offering Memorandum_Steele Creek Rivergate.pdf
Stone Ridge,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,281,281,GARAGE,,,,,medium,Stone Ridge - Rent Roll (2019.09.24).xls; Stone Ridge - T12 (2019.09).xlsx
Stonebriar,,,,,,,,,,,,Mixed,,,786,786,Garage,,14.94,Fee Payro,,none,Annual CashFlow - Goldman.xls; Avana Stonebriar OM.PDF; Avana Stonebriar RR 02.23.18.xls; Avana Stonebriar_OM_Compressed.pdf; Avana Stonebriar_TTM January 2018.xls
Sugarloaf Grove,,,,,,,,,,,,,,2021,,,,,,,,low,11.  SugarloafGrove_Sitemap updated.pdf; 1a.  RentRollwithLeaseCharges02_01_2021 - techno.xls; 1a.  RentRollwithLeaseCharges02_01_2021.xlsx; 4.  Amenity_Listing_704.xlsx; 6.  SG - Rolling 12Month PL 2020-12.xlsx
Sugarloaf Trials,,,,,,,,,,,,,,,,,,,,,,none,
Sweetwater Vista,,,,,,,,,,,,,,,,,,,,,,none,OM Available Soon.pdf
Tapestry Town Center,,,,,,,,,,,,,,,,,Garage,,,,,none,Tapestry Town Center  Other income - final.xls; Tapestry Town Center  Other income.xls; Tapestry Town Center Payroll.xls
Terrabella,,,,,,,,,,,,,,,,,,,,,,none,2020 Keltonwood Portiva Property Premium Breakdown.pdf; jiq7KtDg.png; Terrabella Other Income.xlsx; Terrabella RentableItemsDirectory05_06_2021.xlsx; Terrabella RentRollwithLeaseCharges05_06_2021.xlsx
Texas Deals,,,,,,,,,,,,,,,,,GARAGE,,,FEE,,none,Enclave TS_Rents.xls; LAKESIDE - P  L-converted.xls; LAKESIDE - P  L.pdf; Lakeside TS_Rents.xls; R.Oask TS_Rents.xls
The Ace,,,,,,,,,,,,,,2018,,,,,,,,low,ACEBoxScoreSummary11_14_2018.xlsx; ACERentRollwithLeaseCharges11_14_2018.xlsx; Copy of The Ace RR 3.4.19.xls; The Ace - Expense Comparables_10.4.18_.pdf
The Archer,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,,,,,,,,,medium,The Archer.xlsx
The Bohemian,,,,,,,,,,,,,,,,,,,,,,none,
The Bradford,,,,,,,,,,,,,,,971,971,,,,,,none,Bradford_OM.pdf; Rent Roll_2022.03.07_Bradford.xls; T 12_2022.01_Bradford.xlsx
The Brazos,,,,,,,,,,,,,,,,,,,,,,none,DD_TheBrazos_1.zip
The Brooke,,,,,,,,,,,,,,,,,,,,,,none,
The Catherine,,,,,,,,,,,,,,,,,Garage,,,Fe,,none,Historical_20210923173951 - The Catherine .xls; The Catherine Lease analysis.xls; The Catherine Other Income.xlsx
The Cove at Covington,,,,,,,,,,,0060,Concrete,,,876,876,Garage,,24.01,Fee Capit,,low,Cap rate and Yield on cost .xls; Historical_20240924155818.xls; The Cove at Covington Town Center - Executive Summary.pdf; The Cove Other income.xlsx
The Darby,,Atlanta,GA,,,"Atlanta-Sandy Springs-Roswell, GA",,,,,,,,282,,,Garage,,,,,medium,"Copy of Atlanta Garden_ Expense Comparables_ 6.8.20_v2.pdf; Darby Cherokee County, GA - Real Estate Search.pdf; Darby Rent Roll Analytics .xls; The Darby - City Tax Bill (2019).pdf; The Darby - Property Tax Bill (2019).pdf"
The Eddy,,,,,,,,,,,,,,2020,,,Garage,,,,,low,Rent Roll 07.04.20 - techno .xls; Rent Roll 07.04.20.xlsx; Rent Roll 7.11.2020.xls; The Eddy - 6025 River View Rd (2020).pdf; The Eddy - 6210 Nichols Dr (2020).pdf
The Edison,,,,,,,,,,,,,,,,,,,,,,none,
The Elliott,,,,,,,,,,,,,,,,,,,,,,none,AgedReceivables05_20_2021.pdf; RentableItemsDirectory05_21_2021.xlsx; RentRollwithLeaseCharges05_06_2021.xlsx; The Elliott Fees.xlsx; The Elliott Investment Memo_NorthMarq.pdf
The Fields Lincoln Green,,,,,,,,,,,4,Mixed,garden,260,,,Mixed,,,Fee Gro,,medium,20190909101615_APINVExport - The fields lincoln Green .xls; Comps .xls; Copy of Lincoln Green 1-YR PCA Budget (004) - Capital .xls; Copy of Rent Roll 10.17.19.xls; Costar Report 1.pdf
The Helix,,,,,,,,,,,,,Garden,,,,Garage,,,,,low,2020 Real Estate Tax Bill - 962 Bentstation Lane.pdf; 2021 Real Estate Tax Bill - 962 Bentstation Lane.pdf; Budget_Comparison_The Helix January .xlsx; RentRoll as of 12.31.2021.xlsx; RentRollwithLeaseCharges02_01_2022.xlsx
The Hillson,,,,,,,,,,,,,,2021,,,Garage,,,Sche,,low,Copy of Bulk Internet Financial Model - Hillson.xlsx; Copy of Hollis_MF Davidson County RET Forecast.xls; Copy of Other Income_The Hillson - Bell.xlsx; Hillson...BoxScoreSummary02_13_2021.xlsx; HillsonRentRollwithLeaseCharges02_13_2021 - techno.xls
The Hollows,,,,,,,,,,,8435,Concrete,,,,,,,,Software,,low,Historical_20190916101615 - The Hollows .xls
The Jaxon,,,,,,,,,,,,,,2019,,,,,,,,low,Copy of Jaxon RR 2019_05_10.xls; Jaxon - May Prelim Income.xlsx; Jaxon Budget 2019.xlsx; Jaxon T12 2019_04 (Preliminary).xlsx; Rent analytics + Tax Calculations .xls
The Julington,,,,,,,,,,,,,,2023,,,GARAGE,,,,,low,Copy of RISE Julington Rent Roll_January 18.2023.xls; Julington Other Income Real.xlsx; RISE Julington Budget Forecast.pdf; RISE Julington Rent Roll_05.2023.xlsx; The Julington - Made up rent roll .xls
The Kensley,,,,,,,,,,,,,,,,,surface,,,,,none,The Kensley OM Digital.pdf; The Kensley OM For Print.pdf
The Linden,,,,,,,,,,,,,,,,,,,,,,none,
The Mason Sugarloaf,,Sugar Hill,GA,CA,,"Atlanta-Sandy Springs-Roswell, GA",,2021,,,,,,,,,covered,,,,,medium,BoxScoreSummary12_12_2022.pdf; MS - Rolling 12 Month 2022-10.xlsx; MS - Rolling 12 Month 2023-03.xlsx; R7081 153.pdf - Tax Bill.pdf; RentRoll04_24_2023.xlsx
The Maven,,,,,,,,,,,,,,276,,,,,,,,low,20210419134313_IncomeAPINVExport.xls; Payroll Budget - Highlands at Sweetwater Creek .xlsm; Payroll Budget - The Mayven .xlsm; Payroll schedule - The Maven.xls; The Maven - 2019 Property Tax Bill.pdf
The Mc Coy Apartments,,,,,,,,,,,,,,,633,633,,,,,,none,Expense Comp_McCoy.pdf; McCoy BoxScoreSummary09_28_2021.pdf; McCoy BoxScoreSummary12_22_2021.pdf; McCoy ConcessionBurnOff09_28_2021.xlsx; McCoy Development.jpg
The Mid,,,,,,,,,,,,,,,,,,,,,,none,
The Mid - Lake worth,,,,,,,,,,,,,,,342,342,,,,,,none,07.2022 - Rent Roll Detail Modified w Retail- Excel.xls.xls; 07.2022 - The MID TS.xls; 07.2022 - The Mid TS2.xls; 08.2022 - Rent Roll Detail Combined - TS.xls; 08.2022 - Rent Roll Detail Combined.xls
The Milan,,,,,,,,,,,,,Garden,,,,,,,LLC Orlan,,low,The Milan Apartments (Orlando MSA) OM - 2019 (FINAL).pdf; The Milan Rent Roll_12-10-19 (Master 240 units) - techno.xls; The Milan Rent Roll_12-10-19 (Master 240 units).xlsx; The Milan Rents - 12-9-19.pdf
The Mile,,,,,,,,,,,,,,,,,,,,,,none,
The Mosby,,,,,,,,,,,,,,,769,769,GARAGE,,,,,none,Copy of Mosby University City - Rent Roll 2021.06.11 (004) techno.xls; Mosby Other income.xlsx; Mosby University City - Activity Trend - 210510.pdf; Mosby University City - Delinquent Report (2021.04.16).pdf; Mosby University City - Rent Roll (2021.04.16).xls
The Newton,,,,,,,,,,,,,,2020,,,,,,,,low,389 2020 12 Month Budget 1.31.20.xlsx; 389 Rent Roll 1.31.20 techno v2.xls; 389 Rent Roll 1.31.20.xlsx; 389 Rentable Items 1.31.220.xlsx; AveragesReport_The_Newton_1-29-2020.pdf
The Park at Kensington,,,,FL,,,,,,,,,,264,,,,,,Fee Advertisi,,low,2018_1Q_Tampa_Market Performance Summary.pdf; 5yr Projections .xls; Park at Kensington Axio.pdf; Park at Kensington Buyer Questionnaire.doc; The Park at Kensington Offering Memorandum (singles).pdf
The Parker,,,,,,,,,,,,,,,,,,,,,,none,
The Parkstone Gallatin,,,,,,,,,,,,,,,,,,,,,,none,2021 Tax Bill - City of Gallatin.pdf; 2021 Tax Bill - Sumner County.pdf; Parkstone - Fees.pdf; Parkstone - RentRollwithLeaseCharges 02_08_2022.xlsx; Parkstone - RentRollwithLeaseCharges03_08_2022.xlsx
The Piedmont,,,,,,,,,,,,,,,875,875,GARAGE,,,,,none,Aerial Photo Pool_The Piedmont.JPG; Aerial Photo_The Piedmont.PNG; Cable Contract_2019_The Piedmont.pdf; Certificate of Liability Insurance_2021_The Piedmont.pdf; Certificates of Completion_2020_The Piedmont.pdf
The Pioneer,,,,,,,,,,,,,,,,,,,,,,none,Straight Rent Roll Import V2.xls
The Place at 1825,,Pflugerville,TX,,,"Austin-Round Rock, TX",,,,,,,,,,,Garage,,,INCO,,medium,24-476256-The Place at 1825 Solar Feasibility-Proposal.pdf; 603-0281982-001 - Insurance Document.pdf; Copy of The Place at 1825 RR with LCs  (12-19-24).xlsx; Copy of The Place at 1825 T12 (Nov 2024).xlsx; Historical_20241119123451.xls
